GEOID20,parcels,sale.date_mean,sale.price.real_mean,year.built_mean,total.rooms_mean,beds_mean,baths.full_mean,baths.half_mean,plumbing_mean,landval_mean,impval_mean,totval_mean,stories_mean,footprint.m2_mean,home.size.m2_mean,lot.size.m2_mean,outdoor.m2_mean,year.built_sd,total.rooms_sd,beds_sd,baths.full_sd,baths.half_sd,plumbing_sd,landval_sd,impval_sd,totval_sd,stories_sd,footprint.m2_sd,home.size.m2_sd,lot.size.m2_sd,outdoor.m2_sd
320030034151,160,2013-12-08,80430.70052396772,1990,5.2,2.3,1.9,0,0,13233.5,19302.55,32536.05,1,94.48859,94.48859,0,-94.48859,0,0.8745169376369085,0.642322828764634,0.30094191754531147,0,0,1134.0494592832488,2380.9637386000445,3470.3494537031297,0,12.67403085558029,12.67403085558029,0,12.67403085558029
320030034152,320,2014-07-08,79966.45293417484,1988,4.875,1.875,1.65,0,0,13177.5,19595.8125,32773.3125,1,93.80345249999999,93.80345249999999,0,-93.80345249999999,0,0.7490851264347518,0.7490851264347518,0.4777166169856358,0,0,1478.0292733621213,3444.7460975131808,4919.865316844905,0,20.160331196774276,20.160331196774276,0,20.160331196774276
320030034153,455,2011-07-07,2921533.4834639784,1989.9164835164836,4.637362637362638,2.4043956043956043,2.046153846153846,0.24395604395604395,4.36043956043956,16457.27032967033,28888.186813186814,45537.378021978024,1.2901098901098902,115.24990241758242,119.1982545054945,158.49460576555265,43.24470334797023,1.4593058316166116,0.9470157569836987,0.5816413218585931,0.2100491301390675,0.42993924148369517,5.57821595121877,4442.759833952248,10382.918552703399,14965.314572773636,0.45431241192955296,21.948274788876546,28.149646121053582,208.13280569585353,190.31853030705173
320030034154,535,2011-11-02,139052.8478478584,1986.6018691588786,5.603738317757009,3.095327102803738,2.0785046728971963,0.44485981308411215,10.777570093457944,19969.304672897197,35509.555140186916,55723.22429906542,1.5532710280373832,141.66156037383178,142.95017887850466,414.9733437459895,273.3117833721577,3.092881197637363,0.8783630111373335,0.6029551410898527,0.32006203676026135,0.49741535045937635,1.7344984062262214,1803.9940993172293,9705.338884431303,11299.81314394944,0.4966776807357826,29.207416745058314,37.100082391352615,122.37985893487937,109.03687131572295
320030034155,392,2012-02-03,140147.23826208545,1980.6224489795918,5.959183673469388,3.392857142857143,1.9489795918367347,0.10204081632653061,9.196428571428571,24346.301020408162,29801.48724489796,54147.788265306124,1.010204081632653,167.25815535714284,139.30402397959182,746.715871984669,579.4577166275262,12.111177485039041,0.8081220356417685,0.5574420938353505,0.34663007484868186,0.3030888188128316,0.9778558411319154,3397.0883638213195,22887.212585041463,25060.176427380196,0.10062698170080064,46.95831242921879,36.410935997198116,400.6296892354569,371.30442015016183
320030034161,231,2011-07-07,146952.89919009723,1987.0562770562772,5.658008658008658,3.242424242424242,2.0735930735930737,0.03896103896103896,9.64935064935065,25018.18181818182,35631.580086580085,60649.76190476191,1.1082251082251082,171.05986666666666,137.51170606060606,787.6485958171846,616.5887291505179,3.6844375408563104,1.0172056437436057,0.6058563555692577,0.2616745219353179,0.1939223359710817,1.1084603552311385,9597.07465310306,8034.047031572243,13869.9958396133,0.3113391293329391,32.76097548817026,34.49838858605676,506.43384623612576,483.0666955254284
320030034162,278,2010-08-19,177879.75217637725,1988.6258992805756,6.741007194244604,3.618705035971223,2.2805755395683454,0.06474820143884892,11.007194244604317,25378.230215827338,53386.76618705036,78764.9856115108,1.2140287769784173,215.62491007194245,193.8301690647482,908.7966542778717,693.1717442059293,4.52473886801813,0.9487832184518896,0.5749987719746724,0.49588599159065283,0.24652481640811894,1.7701757153502737,4183.922793215612,21344.307316020582,24174.699813407908,0.4075784249124265,50.16488997060164,51.46986665197099,536.8269722383026,502.7810271543316
320030034163,369,2011-06-08,149101.2194692693,1990.0027100271002,5.222222222222222,3.032520325203252,2.032520325203252,0.10298102981029811,10.010840108401084,21336.154471544716,39238.756097560974,60574.90514905149,1.1219512195121952,172.44354796747967,135.45902574525746,606.8096587103706,434.36611074289095,4.043579616386549,0.8071988901808393,0.5254650013620467,0.17761827120291243,0.3043467740559844,1.0294002046970958,3224.9577037145173,15773.713685243738,17521.884067539795,0.3276737637347318,38.51806433631882,36.99881540242294,328.97136546384576,303.96004991870916
320030034181,180,2010-10-20,117541.08462671371,1994.4277777777777,5.466666666666667,2.816666666666667,2.216666666666667,0.15,5.616666666666666,21827.944444444445,34663.427777777775,56491.37222222222,1.3666666666666667,126.87765888888889,135.09930888888888,215.3828838571012,88.50522496821233,4.3902260100836665,0.5431133095764696,0.7872943555206254,0.41312273123304716,0.35806743848441913,6.0724444011935255,4664.695610279533,11336.375743365019,15753.843329967005,0.48323860883897274,33.18164738037439,43.45773071341376,244.82500918100104,214.92384557515925
320030034182,440,2014-10-03,26796096.880779535,1990,3.9272727272727272,1.9272727272727272,1.7818181818181817,0,0,6475,15433.6,21908.6,1,80.13891818181818,80.13891818181818,0,-80.13891818181818,0,0.5993024177032681,0.5993024177032681,0.41348164884109373,0,0,0,2363.587309467556,2363.587309467556,0,13.93706087197366,13.93706087197366,0,13.93706087197366
320030034183,137,2012-02-04,850730.3248057303,1986.7007299270074,5.934306569343065,2.948905109489051,2,0.48905109489051096,10.554744525547445,22816.430656934306,40693.36496350365,63509.788321167885,1.489051094890511,158.21141240875912,162.8394598540146,544.701443262916,386.4900308541569,1.2447830161946347,0.4059190654269822,0.3702377591258416,0,0.5017145356786988,1.6445976981209303,358.8418625084535,5721.036561359356,5806.986752067386,0.5017145356786988,28.082434452184554,26.471516319620243,112.55443836065896,118.44200913834891
320030034191,177,2009-04-11,297151.06044798135,1996.915254237288,6.88135593220339,3.7457627118644066,2.5254237288135593,0.2768361581920904,12.028248587570621,24049.15254237288,52221.63276836158,76270.78531073446,1.3954802259887005,156.92909435028247,160.43200169491524,446.7481941415694,289.81909979128693,1.0437280579057864,2.812824198058485,1.3642333053976656,1.6239255070317387,0.4487041205249465,7.197244878906373,9406.603511291632,15849.650235445752,24868.039327372342,0.49034069893006166,24.157050078686602,75.47248869229637,162.13362850237687,173.37587468211044
