GEOID20,parcels,sale.date_mean,sale.price.real_mean,year.built_mean,stories_mean,landval_mean,impval_mean,totval_mean,building.size.m2_mean,building.height.m_mean,lot.size.m2_mean,outdoor.m2_mean,year.built_sd,stories_sd,landval_sd,impval_sd,totval_sd,building.size.m2_sd,building.height.m_sd,lot.size.m2_sd,outdoor.m2_sd
320030058291,4,2012-09-30,1728193.1018192794,2012.75,1,159510.25,134195.5,293705.5,190.2592,NA,4309.90601095736,4119.646810957361,7.274384280931732,0,188314.43272777405,155252.27522004308,340432.9226044391,236.54492729999515,NA,2630.2515227805534,2707.8561848545373
320030058301,32,2017-03-09,4574672.12812086,2015,1,NA,NA,NA,710.0463125,NA,NA,NA,4.905559716182473,0,NA,NA,NA,949.7877461450313,NA,NA,NA
320030058311,59,2012-01-16,1148519.4825369164,2005.0169491525423,1.0847457627118644,428275.4745762712,474073.4915254237,902348.966101695,1082.740052542373,NA,15084.032881606126,14162.781371436635,15.603372232136595,0.2808936228404367,605133.2038280371,649868.222024954,929575.4242511594,2353.1132092067755,NA,38966.68093256956,38734.23102325579
320030058341,90,2014-06-14,2631306.4292590087,2009.7444444444445,1.3666666666666667,909007.4777777778,1818597.611111111,2727605.1222222224,2051.4848944444443,NA,15222.488601274834,14249.712177256317,10.378847450800656,1.8929199844197668,2097679.927687431,5748259.104456756,7644496.678001783,6528.870877070142,NA,34679.67245687497,32909.68714542944
320030058352,1,NA,NaN,2007,1,0,0,0,0,NA,7972.314315781594,7972.314315781594,NA,NA,NA,NA,NA,NA,NA,NA,NA
320030058361,3,2006-04-01,74.22458269008978,2005,1.3333333333333333,2538666.6666666665,6859499.333333333,9404909.333333334,11014.3169,NA,48413.93736534516,42815.1020986785,3.4641016151377544,0.5773502691896257,2198549.825074095,5940500.679909088,8144890.402956036,18603.022929456598,NA,39649.655421562326,35674.897045552825
320030058362,3,2008-03-01,78.21877994020093,2004.6666666666667,1,352792.3333333333,1364683.3333333333,1717485.3333333333,5.264333333333333,NA,21785.5960800611,21780.331746727763,3.7859388972001824,0,611054.2458541085,2363700.8695757873,2974771.8585877027,9.118092801311759,NA,23273.572893829834,23274.95227649013
320030058371,2,2003-01-01,10923459.957410345,2010,1,0,0,0,7.5249,NA,4208.734245624542,4201.209345624542,7.0710678118654755,0,0,0,0,10.641815635501302,NA,0,10.641815635501144
320030058372,15,2011-11-23,920491.8495271029,2006.6,1,4453330.2,5397196.066666666,9850552.266666668,1378.93328,NA,63735.34844669152,62356.41516669152,4.102264183176338,0,2700784.0266038673,3139759.624076442,5838104.551325841,1512.6463999372977,NA,31714.29706523173,31355.408355450574
320030058391,28,2016-04-19,2350329.3208880015,2004.5714285714287,1.2142857142857142,549354.5,2004515.75,2553890.5714285714,1865.8699571428572,NA,85138.70811200146,84060.80268343004,8.157834550312021,0.49867549436206376,996341.4556804532,2929093.3044483443,3749645.5924049225,5775.6647479843,NA,185481.47457488178,185474.90880203497
320030058392,3,2009-08-01,202432.6279045384,2009.6666666666667,1,2362500,10349292.333333334,12711792.333333334,0,NA,82893.18231725256,82893.18231725256,4.725815626252608,0,4091970.0328814727,17925500.14371639,22017470.176597863,0,NA,138510.97298170414,138510.97298170414
320030058411,13,2005-08-01,360.8189650497301,2001.923076923077,1.0769230769230769,25926.923076923078,2990773.846153846,3016809.3846153845,497.3723076923077,NA,74035.74797093373,73658.23095554911,2.0599975105785306,0.2773500981126146,75366.96176869271,2389951.776013826,2368117.434937597,898.0464563070568,NA,212792.4539422411,212772.8941867951
320030058412,8,2007-08-31,86471.5196089561,2006.5,1,7560,29044.875,36604.875,126.55302499999999,NA,3535.9440202786027,3409.390995278603,2.5071326821120348,0,14206.82427567822,54905.38798811097,69106.70032728375,142.52366798483231,NA,3990.9121957256302,3977.9357809752028
320030058421,15,2017-10-17,175.46403922008147,2005.5333333333333,1,51914.13333333333,759352.2666666667,811582.7333333333,205.78588666666667,NA,133224.35457203083,133018.56868536415,4.998094875145167,0,76512.93571292062,1296817.5275153657,1358587.2987838963,370.69529168368166,NA,214340.1916832555,214122.52863248825
320030058422,3,NA,NaN,2003.3333333333333,1,729166.6666666666,1493630,2222796.6666666665,18.9516,NA,22460.073289453983,22441.121689453983,0.5773502691896257,0,1262953.7138523064,2587043.0477091023,3849996.7615614086,32.82513408472233,NA,19603.726780875073,19599.587289713836
320030058431,195,2010-01-10,14046267.7473063,2011.502564102564,1.6256410256410256,2911900.6923076925,19549922.220512822,22468412.276923075,3861.7405671794872,NA,41099.702694976935,39485.70804032376,4.6699018278985145,2.0704994602276683,5059002.907802318,42465856.98053324,47410808.43539646,9539.859212056019,NA,60592.03856625047,59728.3480761658
320030058441,9,1999-07-01,787161.4327730637,2000.888888888889,1.1111111111111112,1137369.2222222222,2613749.6666666665,3770764,3824.610422222222,NA,35639.34733039141,33617.65753039141,3.551212625443753,0.3333333333333333,1246214.2135695189,3273443.9947920674,4512404.929407017,10740.635260978199,NA,17519.796197954627,17259.141295991853
320030058442,8,1998-09-01,338982.8737531318,2001.5,1.125,2373787.5,3555801,5957441.5,4684.9353875,NA,46002.681199551225,43635.699518301226,3.1167748898959182,0.3535533905932738,3514417.7079923213,4204397.404628567,7667499.748567903,13092.993452651239,NA,43851.65441163206,39922.92800579438
320030058443,26,2010-06-20,2324598.1468122834,2006.076923076923,1.2692307692307692,894729.4615384615,1283806.6538461538,2185592.5384615385,1371.4076653846153,NA,14249.616850526425,13450.917437705913,2.7556934070839874,0.533493565673837,1746013.1897343097,2253460.5377918994,4006356.2679722453,3468.0272528933324,NA,29707.00183870772,29401.74895214327
320030058452,20,2011-04-29,7004232.38193543,2008.3,1.7,471112.5,2651587,3122915.1,2776.77171,NA,14898.515578242537,13984.057524909203,5.027293925217255,1.1285761872936695,437356.3189613488,3714645.582793571,4120600.5660336367,4839.67160447158,NA,20980.258413597818,20920.59160481054
320030058453,5,1998-08-01,1237073.967887835,2006,2.4,3076500,8999319,12166644,5535.0749,3.3528000000000002,44474.99047374725,42295.711307080586,0,0.8944271909999159,0,0,0,2849.197100911683,1.3631070390838715,0,1078.6178703030175
320030058461,8,2006-12-31,4544643.235005947,2001.25,1,2691,787273.5,790696,777.7007375,NA,18489.091721484663,17711.39098398466,1.4880476182856899,0,2876.800007945336,841630.7733389641,845289.5797407452,1079.503828148685,NA,3540.7754847150222,3397.018620023516
